SDv2.2,Best Swiss-prot hit,mtDNA-inte vs not-int,mtDNA-interaction categories
TCAL_03747,"Aats-ala-m Alanine--tRNA ligase, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-ARS
TCAL_10922,"Aats-phe Probable phenylalanine--tRNA ligase, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-ARS
TCAL_08187,"Dars2 Aspartate--tRNA ligase, mitochondrial (Rattus norvegicus)",mtDNA-interacting,mt-ARS
TCAL_07328,"EARS2 Probable glutamate--tRNA ligase, mitochondrial (Gallus gallus)",mtDNA-interacting,mt-ARS
TCAL_10585,"Hars Histidine--tRNA ligase, cytoplasmic (Mus musculus)",mtDNA-interacting,mt-ARS
TCAL_08039,"IARS2 Isoleucine--tRNA ligase, mitochondrial (Gallus gallus)",mtDNA-interacting,mt-ARS
TCAL_02280,Kars Lysine--tRNA ligase (Mus musculus),mtDNA-interacting,mt-ARS
TCAL_04272,"LARS2 Probable leucine--tRNA ligase, mitochondrial (Pongo abelii)",mtDNA-interacting,mt-ARS
TCAL_12964,"MARS Methionine--tRNA ligase, cytoplasmic (Homo sapiens)",mtDNA-interacting,mt-ARS
TCAL_07053,"mars2 Methionine--tRNA ligase, mitochondrial (Takifugu rubripes)",mtDNA-interacting,mt-ARS
TCAL_07109,"Nars2 Probable asparagine--tRNA ligase, mitochondrial (Mus musculus)",mtDNA-interacting,mt-ARS
TCAL_07473,"PARS2 Probable proline--tRNA ligase, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-ARS
TCAL_11833,"RARS2 Probable arginine--tRNA ligase, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-ARS
TCAL_06330,"SARS2 Serine--tRNA ligase, mitochondrial (Bos taurus)",mtDNA-interacting,mt-ARS
TCAL_09188,Vars Valine--tRNA ligase (Mus musculus),mtDNA-interacting,mt-ARS
TCAL_01803,"WARS2 Tryptophan--tRNA ligase, mitochondrial (Bos taurus)",mtDNA-interacting,mt-ARS
TCAL_01599,"bonsai 28S ribosomal protein S15, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_06698,"MRPL1 39S ribosomal protein L1, mitochondrial (Bos taurus)",mtDNA-interacting,mt-RP
TCAL_01800,"mRpL10 39S ribosomal protein L10, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_07825,"Mrpl12 39S ribosomal protein L12, mitochondrial (Mus musculus)",mtDNA-interacting,mt-RP
TCAL_00434,"mRpL13 39S ribosomal protein L13, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_00364,"mrpl14 39S ribosomal protein L14, mitochondrial (Danio rerio)",mtDNA-interacting,mt-RP
TCAL_10558,"MRPL15 39S ribosomal protein L15, mitochondrial (Gallus gallus)",mtDNA-interacting,mt-RP
TCAL_00605,"MRPL16 39S ribosomal protein L16, mitochondrial (Bos taurus)",mtDNA-interacting,mt-RP
TCAL_01532,"MRPL18 39S ribosomal protein L18, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-RP
TCAL_00647,"mRpL19 39S ribosomal protein L19, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_09288,"Mrpl2 39S ribosomal protein L2, mitochondrial (Mus musculus)",mtDNA-interacting,mt-RP
TCAL_05556,"MRPL21 39S ribosomal protein L21, mitochondrial (Bos taurus)",mtDNA-interacting,mt-RP
TCAL_13866,"mRpL22 39S ribosomal protein L22, mitochondrial (Drosophila pseudoobscura pseudoobscura)",mtDNA-interacting,mt-RP
TCAL_02539,"mRpL23 39S ribosomal protein L23, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_00652,"mRpL24 Probable 39S ribosomal protein L24, mitochondrial (Drosophila pseudoobscura pseudoobscura)",mtDNA-interacting,mt-RP
TCAL_03266,"MRPL27 39S ribosomal protein L27, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-RP
TCAL_09301,"MRPL28 39S ribosomal protein L28, mitochondrial (Bos taurus)",mtDNA-interacting,mt-RP
TCAL_09677,"Mrpl30 39S ribosomal protein L30, mitochondrial (Rattus norvegicus)",mtDNA-interacting,mt-RP
TCAL_06670,"mRpL32 39S ribosomal protein L32, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_09297,"mRpL35 39S ribosomal protein L35, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_01941,"MRPL37 39S ribosomal protein L37, mitochondrial (Bos taurus)",mtDNA-interacting,mt-RP
TCAL_01282,"Mrpl38 39S ribosomal protein L38, mitochondrial (Rattus norvegicus)",mtDNA-interacting,mt-RP
TCAL_10637,"mRpL39 39S ribosomal protein L39, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_00531,"MRPL4 39S ribosomal protein L4, mitochondrial (Bos taurus)",mtDNA-interacting,mt-RP
TCAL_11057,"Mrpl40 39S ribosomal protein L40, mitochondrial (Mus musculus)",mtDNA-interacting,mt-RP
TCAL_06458,"mRpL41 39S ribosomal protein L41, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_12586,"MRPL42 39S ribosomal protein L42, mitochondrial (Bos taurus)",mtDNA-interacting,mt-RP
TCAL_13512,"MRPL43 39S ribosomal protein L43, mitochondrial (Bos taurus)",mtDNA-interacting,mt-RP
TCAL_01170,"MRPL44 39S ribosomal protein L44, mitochondrial (Bos taurus)",mtDNA-interacting,mt-RP
TCAL_04664,"mRpL45 Probable 39S ribosomal protein L45, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_09023,"MRPL46 39S ribosomal protein L46, mitochondrial (Bos taurus)",mtDNA-interacting,mt-RP
TCAL_12399,"Mrpl47 39S ribosomal protein L47, mitochondrial (Mus musculus)",mtDNA-interacting,mt-RP
TCAL_11597,"Mrpl48 39S ribosomal protein L48, mitochondrial (Mus musculus)",mtDNA-interacting,mt-RP
TCAL_03267,"MRPL49 39S ribosomal protein L49, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-RP
TCAL_11293,"MRPL50 39S ribosomal protein L50, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-RP
TCAL_03359,"mRpL51 39S ribosomal protein L51, mitochondrial (Drosophila pseudoobscura pseudoobscura)",mtDNA-interacting,mt-RP
TCAL_00049,mrpl53 39s ribosomal protein mitochondrial (Homo sapiens),mtDNA-interacting,mt-RP
TCAL_02610,"mrpl54 39S ribosomal protein L54, mitochondrial (Danio rerio)",mtDNA-interacting,mt-RP
TCAL_00894,"mRpL9 39S ribosomal protein L9, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_12614,"mrps-5 Putative 28S ribosomal protein S5, mitochondrial (Caenorhabditis elegans)",mtDNA-interacting,mt-RP
TCAL_00436,"mRpS10 28S ribosomal protein S10, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_03980,"MRPS11 28S ribosomal protein S11, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-RP
TCAL_05252,"mRpS16 Probable 28S ribosomal protein S16, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_07222,mrps17 28s ribosomal protein mitochondrial (Bos taurus),mtDNA-interacting,mt-RP
TCAL_07454,"MRPS18B 28S ribosomal protein S18b, mitochondrial (Macaca mulatta)",mtDNA-interacting,mt-RP
TCAL_03843,"Mrps18c 28S ribosomal protein S18c, mitochondrial (Mus musculus)",mtDNA-interacting,mt-RP
TCAL_11595,"Mrps2 28S ribosomal protein S2, mitochondrial (Mus musculus)",mtDNA-interacting,mt-RP
TCAL_08385,"MRPS21 28S ribosomal protein S21, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-RP
TCAL_01554,"MRPS22 28S ribosomal protein S22, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-RP
TCAL_04583,"MRPS23 28S ribosomal protein S23, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-RP
TCAL_10166,"mRpS24 28S ribosomal protein S24, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_10597,"mRpS25 Probable 28S ribosomal protein S25, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_03197,"mRpS26 Probable 28S ribosomal protein S26, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_10898,"Mrps28 28S ribosomal protein S28, mitochondrial (Mus musculus)",mtDNA-interacting,mt-RP
TCAL_13826,"MRPS30 28S ribosomal protein S30, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-RP
TCAL_00587,"MRPS31 28S ribosomal protein S31, mitochondrial (Bos taurus)",mtDNA-interacting,mt-RP
TCAL_01851,"Mrps33 28S ribosomal protein S33, mitochondrial (Mus musculus)",mtDNA-interacting,mt-RP
TCAL_13636,"MRPS35 28S ribosomal protein S35, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-RP
TCAL_15842,"mRpS36 28S ribosomal protein 36, mitochondrial",mtDNA-interacting,mt-RP
TCAL_01053,"mRpS6 Probable 28S ribosomal protein S6, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_09514,"mRpS7 28S ribosomal protein S7, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_03533,"MRPS9 28S ribosomal protein S9, mitochondrial (Homo sapiens)",mtDNA-interacting,mt-RP
TCAL_04181,"ribosomal protein 63, mitochondrial",mtDNA-interacting,mt-RP
TCAL_05591,"tko 40S ribosomal protein S12, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mt-RP
TCAL_05035,"mtSSB Single-stranded DNA-binding protein, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,mtDNA replication
TCAL_01064,PAPOLG Poly(A) polymerase gamma (Homo sapiens),mtDNA-interacting,mtDNA replication
TCAL_13733,"PEO1 Twinkle protein, mitochondrial (Homo sapiens)",mtDNA-interacting,mtDNA replication
TCAL_12602,POLG DNA polymerase subunit gamma-1 (Homo sapiens),mtDNA-interacting,mtDNA replication
TCAL_11296,"Polrmt DNA-directed RNA polymerase, mitochondrial (Mus musculus)",mtDNA-interacting,mtDNA transcription
TCAL_04550,"TFAM Transcription factor A, mitochondrial (Bos taurus)",mtDNA-interacting,mtDNA transcription
TCAL_00304,"TFB1M Dimethyladenosine transferase 1, mitochondrial (Macaca fascicularis)",mtDNA-interacting,mtDNA transcription
TCAL_00157,C33A12.1 Probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Caenorhabditis elegans),mtDNA-interacting,OXPHOS Comp-I
TCAL_06393,D2030.4 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 (Caenorhabditis elegans),mtDNA-interacting,OXPHOS Comp-I
TCAL_07308,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 (Bombyx mori),mtDNA-interacting,OXPHOS Comp-I
TCAL_06785,"ND42 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-I
TCAL_05883,NDUFA13 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Macaca fascicularis),mtDNA-interacting,OXPHOS Comp-I
TCAL_00348,NDUFA2 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Pongo pygmaeus),mtDNA-interacting,OXPHOS Comp-I
TCAL_02369,Ndufa4 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 (Mus musculus),mtDNA-interacting,OXPHOS Comp-I
TCAL_06837,NDUFA6 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Pongo pygmaeus),mtDNA-interacting,OXPHOS Comp-I
TCAL_03196,Ndufa7 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Mus musculus),mtDNA-interacting,OXPHOS Comp-I
TCAL_01585,Ndufa8 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Mus musculus),mtDNA-interacting,OXPHOS Comp-I
TCAL_09109,"NDUFA9 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Bos taurus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_04173,NDUFAF3 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3 (Bos taurus),mtDNA-interacting,OXPHOS Comp-I
TCAL_08202,Ndufaf4 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 (Rattus norvegicus),mtDNA-interacting,OXPHOS Comp-I
TCAL_06601,"NDUFAF6 NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 (Bos taurus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_00350,"ndufaf7 NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 (Xenopus tropicalis)",mtDNA-interacting,OXPHOS Comp-I
TCAL_00331,"NDUFB11 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Gorilla gorilla gorilla)",mtDNA-interacting,OXPHOS Comp-I
TCAL_03847,NDUFB3 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 (Pongo pygmaeus),mtDNA-interacting,OXPHOS Comp-I
TCAL_05872,"NDUFB5 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial (Macaca fascicularis)",mtDNA-interacting,OXPHOS Comp-I
TCAL_00807,"NDUFB8 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial (Bos taurus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_09098,Ndufb9 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Mus musculus),mtDNA-interacting,OXPHOS Comp-I
TCAL_12405,"Ndufs1 NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (Rattus norvegicus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_06478,"Ndufs2 NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (Rattus norvegicus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_01480,"NDUFS3 NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (Pongo pygmaeus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_00849,"Ndufs4 NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Rattus norvegicus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_02370,"Ndufs6 NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Rattus norvegicus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_00848,"NDUFS7 NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (Bos taurus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_10348,"NDUFS8 NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (Bos taurus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_03116,"NDUFV1 NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (Bos taurus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_08370,"NDUFV2 NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (Bos taurus)",mtDNA-interacting,OXPHOS Comp-I
TCAL_03098,"CYC1 Cytochrome c1, heme protein, mitochondrial (Homo sapiens)",mtDNA-interacting,OXPHOS Comp-III
TCAL_07035,UQCR10 Cytochrome b-c1 complex subunit 9 (Bos taurus),mtDNA-interacting,OXPHOS Comp-III
TCAL_07371,UQCRB Cytochrome b-c1 complex subunit 7 (Bos taurus),mtDNA-interacting,OXPHOS Comp-III
TCAL_07917,"UQCRC2 Cytochrome b-c1 complex subunit 2, mitochondrial (Bos taurus)",mtDNA-interacting,OXPHOS Comp-III
TCAL_03710,"UQCRFS1 Cytochrome b-c1 complex subunit Rieske, mitochondrial (Lagothrix lagotricha)",mtDNA-interacting,OXPHOS Comp-III
TCAL_00971,UQCRQ Cytochrome b-c1 complex subunit 8 (Homo sapiens),mtDNA-interacting,OXPHOS Comp-III
TCAL_03717,"COA4 Cytochrome c oxidase assembly factor 4 homolog, mitochondrial (Mus musculus)",mtDNA-interacting,OXPHOS Comp-IV
TCAL_01852,coa5 Cytochrome c oxidase assembly factor 5 (Xenopus tropicalis),mtDNA-interacting,OXPHOS Comp-IV
TCAL_00456,"COX11 Cytochrome c oxidase assembly protein COX11, mitochondrial (Homo sapiens)",mtDNA-interacting,OXPHOS Comp-IV
TCAL_03217,cox12 Cytochrome c oxidase subunit 6B (Schizosaccharomyces pombe (strain 972 / ATCC 24843)),mtDNA-interacting,OXPHOS Comp-IV
TCAL_03480,COX15 Cytochrome c oxidase assembly protein COX15 homolog (Homo sapiens),mtDNA-interacting,OXPHOS Comp-IV
TCAL_05000,COX18 Mitochondrial inner membrane protein COX18 (Homo sapiens),mtDNA-interacting,OXPHOS Comp-IV
TCAL_04175,"COX4I1 Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Fragment) (Theropithecus gelada)",mtDNA-interacting,OXPHOS Comp-IV
TCAL_03319,"COX5A Cytochrome c oxidase subunit 5A, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-IV
TCAL_06667,"COX5B Cytochrome c oxidase subunit 5B, mitochondrial (Homo sapiens)",mtDNA-interacting,OXPHOS Comp-IV
TCAL_16413,"Cox6a1 Cytochrome c oxidase subunit 6A1, mitochondrial (Rattus norvegicus)",mtDNA-interacting,OXPHOS Comp-IV
TCAL_10240,Cox6c Cytochrome c oxidase subunit 6C (Mus musculus),mtDNA-interacting,OXPHOS Comp-IV
TCAL_12221,"Cytochrome c oxidase assembly factor 8; Apopt1 Apoptogenic protein 1, mitochondrial (Mus musculus)",mtDNA-interacting,OXPHOS Comp-IV
TCAL_16789,ATP synthase F(0) complex subunit e [Cricetulus longicaudatus],mtDNA-interacting,OXPHOS Comp-V
TCAL_11042,"ATP synthase lipid-binding protein, mitochondrial (Manduca sexta)",mtDNA-interacting,OXPHOS Comp-V
TCAL_13904,"ATP synthase subunit epsilon, mitochondrial (Ipomoea batatas)",mtDNA-interacting,OXPHOS Comp-V
TCAL_02043,"Atp5d ATP synthase subunit delta, mitochondrial (Mus musculus)",mtDNA-interacting,OXPHOS Comp-V
TCAL_04256,"ATP5L ATP synthase subunit g, mitochondrial (Homo sapiens)",mtDNA-interacting,OXPHOS Comp-V
TCAL_05927,"ATP5S ATP synthase subunit s, mitochondrial (Bos taurus)",mtDNA-interacting,OXPHOS Comp-V
TCAL_15094,ATPAF2 ATP synthase mitochondrial F1 complex assembly factor 2 (Bos taurus),mtDNA-interacting,OXPHOS Comp-V
TCAL_05837,"ATPsyn-b ATP synthase subunit b, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_07372,"ATPsyn-beta ATP synthase subunit beta, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_08515,"ATPsyn-Cf6 ATP synthase-coupling factor 6, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_05607,"ATPsyn-d ATP synthase subunit d, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_17301,"ATPsyn-gamma ATP synthase subunit gamma, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_05580,"ATPsynO ATP synthase subunit O, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_11397,"blw ATP synthase subunit alpha, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_11398,"blw ATP synthase subunit alpha, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_04747,"CG4692 Putative ATP synthase subunit f, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_10247,"BRAFLDRAFT_270748 Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Branchiostoma floridae)",mtDNA-interacting,translation factor
TCAL_02044,"CPIJ005834 Elongation factor G, mitochondrial (Culex quinquefasciatus)",mtDNA-interacting,translation factor
TCAL_11405,"gatA Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Anopheles gambiae)",mtDNA-interacting,translation factor
TCAL_10086,"GatB Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,translation factor
TCAL_02796,"Guf1 Translation factor Guf1, mitochondrial (Mus musculus)",mtDNA-interacting,translation factor
TCAL_04972,"Mrpl58 Peptidyl-tRNA hydrolase ICT1, mitochondrial (Mus musculus)",mtDNA-interacting,translation factor
TCAL_08083,"Mtfmt Methionyl-tRNA formyltransferase, mitochondrial (Mus musculus)",mtDNA-interacting,translation factor
TCAL_17405,"Mtfmt Methionyl-tRNA formyltransferase, mitochondrial (Mus musculus)",mtDNA-interacting,translation factor
TCAL_13790,"Mtif2 Translation initiation factor IF-2, mitochondrial (Mus musculus)",mtDNA-interacting,translation factor
TCAL_09099,"MTO1 Protein MTO1 homolog, mitochondrial (Macaca fascicularis)",mtDNA-interacting,translation factor
TCAL_11127,"PTRH2 Peptidyl-tRNA hydrolase 2, mitochondrial (Homo sapiens)",mtDNA-interacting,translation factor
TCAL_17226,"PTRH2 Peptidyl-tRNA hydrolase 2, mitochondrial (Homo sapiens)",mtDNA-interacting,translation factor
TCAL_11958,"TUFM Elongation factor Tu, mitochondrial (Bos taurus)",mtDNA-interacting,translation factor
TCAL_05467,"TUFM Elongation factor Tu, mitochondrial (Homo sapiens)",mtDNA-interacting,translation factor
TCAL_03982,"AADAT Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_11524,"AADAT Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_06653,AAEL000794 Clustered mitochondria protein homolog (Aedes aegypti),not-interacting,no-int
TCAL_00588,"AAEL009368 Lipoyl synthase, mitochondrial (Aedes aegypti)",not-interacting,no-int
TCAL_05997,"AAEL011789 Probable citrate synthase 2, mitochondrial (Aedes aegypti)",not-interacting,no-int
TCAL_11846,"AASS Alpha-aminoadipic semialdehyde synthase, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_01296,"ABAT 4-aminobutyrate aminotransferase, mitochondrial (Sus scrofa)",not-interacting,no-int
TCAL_07357,"ABAT 4-aminobutyrate aminotransferase, mitochondrial (Sus scrofa)",not-interacting,no-int
TCAL_03147,"Abcb10 ATP-binding cassette sub-family B member 10, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_13378,"abcb6 ATP-binding cassette sub-family B member 6, mitochondrial (Xenopus tropicalis)",not-interacting,no-int
TCAL_07283,"ABCB7 ATP-binding cassette sub-family B member 7, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_07153,"abcb8 ATP-binding cassette sub-family B member 8, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_10253,ABCD2 ATP-binding cassette sub-family D member 2 (Homo sapiens),not-interacting,no-int
TCAL_09747,"ABHD10 Mycophenolic acid acyl-glucuronide esterase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_11389,abhd11 Alpha/beta hydrolase domain-containing protein 11 (Danio rerio),not-interacting,no-int
TCAL_00708,"ABT ADP,ATP carrier protein (Chlamydomonas reinhardtii)",not-interacting,no-int
TCAL_08619,"ACAA2 3-ketoacyl-CoA thiolase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_01897,"ACAD8 Isobutyryl-CoA dehydrogenase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_00457,"ACAD9 Acyl-CoA dehydrogenase family member 9, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_01917,"Acadl Long-chain specific acyl-CoA dehydrogenase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_12103,"ACADM Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_00361,"Acads Short-chain specific acyl-CoA dehydrogenase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_07844,"Acadvl Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_07559,Acly ATP-citrate synthase (Mus musculus),not-interacting,no-int
TCAL_01219,ACO1 Cytoplasmic aconitate hydratase (Homo sapiens),not-interacting,no-int
TCAL_07255,"Aco2 Aconitate hydratase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_01789,ACOT13 Acyl-coenzyme A thioesterase 13 (Pongo abelii),not-interacting,no-int
TCAL_09368,"ACOT9 Acyl-coenzyme A thioesterase 9, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_06144,"ACSF2 Acyl-CoA synthetase family member 2, mitochondrial (Macaca fascicularis)",not-interacting,no-int
TCAL_12937,"ACSF2 Acyl-CoA synthetase family member 2, mitochondrial (Macaca fascicularis)",not-interacting,no-int
TCAL_01042,"acsf3 Acyl-CoA synthetase family member 3, mitochondrial (Xenopus laevis)",not-interacting,no-int
