SDv2.2,Best Swiss-prot hit,mtDNA-inte vs not-int,mtDNA-interaction categories
TCAL_05174,"acsf3 Acyl-CoA synthetase family member 3, mitochondrial (Xenopus laevis)",not-interacting,no-int
TCAL_12656,"ACSM3 Acyl-coenzyme A synthetase ACSM3, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_12822,"Acss1 Acetyl-coenzyme A synthetase 2-like, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_05040,"ACSS3 Acyl-CoA synthetase short-chain family member 3, mitochondrial (Pongo abelii)",not-interacting,no-int
TCAL_13290,Adck1 Uncharacterized aarF domain-containing protein kinase 1 (Mus musculus),not-interacting,no-int
TCAL_11325,Adck2 Uncharacterized aarF domain-containing protein kinase 2 (Mus musculus),not-interacting,no-int
TCAL_01111,Adk2 Adenylate kinase (Drosophila melanogaster),not-interacting,no-int
TCAL_12115,"AGAP006646 Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial (Anopheles gambiae)",not-interacting,no-int
TCAL_07285,"agk Acylglycerol kinase, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_05593,"Aifm1 Apoptosis-inducing factor 1, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_00834,AIFM3 Apoptosis-inducing factor 3 (Homo sapiens),not-interacting,no-int
TCAL_00864,"AK3 GTP:AMP phosphotransferase AK3, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_08634,"Akap10 A-kinase anchor protein 10, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_02860,"ALAS1 5-aminolevulinate synthase, nonspecific, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_03832,Aldh18a1 Delta-1-pyrroline-5-carboxylate synthase (Mus musculus),not-interacting,no-int
TCAL_01748,Aldh1l2 Mitochondrial 10-formyltetrahydrofolate dehydrogenase (Mus musculus),not-interacting,no-int
TCAL_02765,"Aldh2 Aldehyde dehydrogenase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_11000,"aldh4a1 Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_05074,"Aldh5a1 Succinate-semialdehyde dehydrogenase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_05307,"Aldh6a1 Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_04840,ALDH7A1 Alpha-aminoadipic semialdehyde dehydrogenase (Bos taurus),not-interacting,no-int
TCAL_13805,ALDH9A1 4-trimethylaminobutyraldehyde dehydrogenase (Homo sapiens),not-interacting,no-int
TCAL_07977,"Amt Aminomethyltransferase, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_06082,"AOX1 Alternative oxidase, mitochondrial (Venturia inaequalis)",not-interacting,no-int
TCAL_03780,aralar1 Calcium-binding mitochondrial carrier protein Aralar1 (Drosophila melanogaster),not-interacting,no-int
TCAL_04979,atad3-b ATPase family AAA domain-containing protein 3-B (Xenopus laevis),not-interacting,no-int
TCAL_06414,Atp6v0a1 V-type proton ATPase 116 kDa subunit a isoform 1 (Mus musculus),not-interacting,no-int
TCAL_04991,"Atpif1 ATPase inhibitor, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_01459,"AUH Methylglutaconyl-CoA hydratase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_04777,"B0513.5 Proline dehydrogenase 1, mitochondrial (Caenorhabditis elegans)",not-interacting,no-int
TCAL_06151,"BCKDHA 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_09577,"BCKDHB 2-oxoisovalerate dehydrogenase subunit beta, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_02866,"BCKDK [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_00319,bcs1l Mitochondrial chaperone BCS1 (Danio rerio),not-interacting,no-int
TCAL_05735,Bcs1l Mitochondrial chaperone BCS1 (Mus musculus),not-interacting,no-int
TCAL_09392,"Bdh1 D-beta-hydroxybutyrate dehydrogenase, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_08604,"Bdh1 D-beta-hydroxybutyrate dehydrogenase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_00453,"beg Probable malonyl-CoA-acyl carrier protein transacylase, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_02862,blos1 Biogenesis of lysosome-related organelles complex 1 subunit 1 (Drosophila melanogaster),not-interacting,no-int
TCAL_10924,BPHL Valacyclovir hydrolase (Homo sapiens),not-interacting,no-int
TCAL_01174,"C1qbp Complement component 1 Q subcomponent-binding protein, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_08462,C8orf82 UPF0598 protein C8orf82 (Homo sapiens),not-interacting,no-int
TCAL_02461,Carkd ATP-dependent (S)-NAD(P)H-hydrate dehydratase (Mus musculus),not-interacting,no-int
TCAL_02199,Cat Catalase (Drosophila melanogaster),not-interacting,no-int
TCAL_02622,Ccbl2 Kynurenine--oxoglutarate transaminase 3 (Mus musculus),not-interacting,no-int
TCAL_08496,CCDC51 Coiled-coil domain-containing protein 51 (Bos taurus),not-interacting,no-int
TCAL_02050,CCT7 T-complex protein 1 subunit eta (Gallus gallus),not-interacting,no-int
TCAL_10610,"CG12264 Probable cysteine desulfurase, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_00051,"CG16935 Probable trans-2-enoyl-CoA reductase, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_02132,CG3021 Mitochondrial tRNA-specific 2-thiouridylase 1 (Drosophila melanogaster),not-interacting,no-int
TCAL_05156,"CG4495 Calcium uptake protein 1 homolog, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_06778,"CG4495 Calcium uptake protein 1 homolog, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_02901,"CG4679 Protein PTCD3 homolog, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_05729,"CG7280 Probable sulfite oxidase, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_07457,"CG7506 Transmembrane protein 70 homolog, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_04903,"CG9791 ATP-dependent RNA helicase SUV3 homolog, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_05366,"Chchd2 Coiled-coil-helix-coiled-coil-helix domain-containing protein 2, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_00867,Chchd4 Mitochondrial intermembrane space import and assembly protein 40 (Mus musculus),not-interacting,no-int
TCAL_12355,"chchd6 Coiled-coil-helix-coiled-coil-helix domain-containing protein 6, mitochondrial (Xenopus tropicalis)",not-interacting,no-int
TCAL_11167,"Chdh Choline dehydrogenase, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_01568,"CIA30 Complex I intermediate-associated protein 30, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_00859,"CISD3 CDGSH iron-sulfur domain-containing protein 3, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_01166,CLPB Caseinolytic peptidase B protein homolog (Bos taurus),not-interacting,no-int
TCAL_05557,"Clpx ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_09890,"CLPX ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial (Pongo abelii)",not-interacting,no-int
TCAL_12594,"CLYBL Citrate lyase subunit beta-like protein, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_04625,CMC1 COX assembly mitochondrial protein homolog (Bos taurus),not-interacting,no-int
TCAL_09100,cmc2 COX assembly mitochondrial protein 2 homolog (Danio rerio),not-interacting,no-int
TCAL_07684,COASY Bifunctional coenzyme A synthase (Sus scrofa),not-interacting,no-int
TCAL_04518,"Complex I assembly factor TIMMDC1, mitochondrial; Alt=140up RPII140-upstream gene protein (Drosophila melanogaster)",not-interacting,no-int
TCAL_09795,"COQ10B Coenzyme Q-binding protein COQ10 homolog B, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_10982,"coq2 4-hydroxybenzoate polyprenyltransferase, mitochondrial (Aedes aegypti)",not-interacting,no-int
TCAL_07962,"Coq3 Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_01175,"coq5 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_05048,coq6 Ubiquinone biosynthesis monooxygenase COQ6 (Xenopus tropicalis),not-interacting,no-int
TCAL_12478,"COQ7 5-demethoxyubiquinone hydroxylase, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_12094,"coq8a Atypical kinase COQ8A, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_03740,"cps-6 Endonuclease G, mitochondrial (Caenorhabditis elegans)",not-interacting,no-int
TCAL_02254,"CPT1A Carnitine O-palmitoyltransferase 1, liver isoform (Homo sapiens)",not-interacting,no-int
TCAL_03552,"CPT2 Carnitine O-palmitoyltransferase 2, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_03579,CRAT Carnitine O-acetyltransferase (Columba livia),not-interacting,no-int
TCAL_02907,Cry2 Cryptochrome-2 (Mus musculus),not-interacting,no-int
TCAL_07367,"cyct Cytochrome c, testis-specific (Xenopus laevis)",not-interacting,no-int
TCAL_06087,Cyp1 Peptidyl-prolyl cis-trans isomerase (Drosophila melanogaster),not-interacting,no-int
TCAL_12040,Cyp1 Peptidyl-prolyl cis-trans isomerase (Drosophila melanogaster),not-interacting,no-int
TCAL_03696,"D10Jhu81e ES1 protein homolog, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_07130,"d2hgdh D-2-hydroxyglutarate dehydrogenase, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_04195,"Dbt Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_03923,"DDB_G0271866 3-hydroxybutyryl-CoA dehydratase-like protein, mitochondrial (Dictyostelium discoideum)",not-interacting,no-int
TCAL_09082,Ddx28 Probable ATP-dependent RNA helicase DDX28 (Mus musculus),not-interacting,no-int
TCAL_02149,"Decr1 2,4-dienoyl-CoA reductase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_10266,"DHAR1 Glutathione S-transferase DHAR1, mitochondrial (Arabidopsis thaliana)",not-interacting,no-int
TCAL_01915,"DHODH Dihydroorotate dehydrogenase (quinone), mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_00032,Dhrs1 Dehydrogenase/reductase SDR family member 1 (Mus musculus),not-interacting,no-int
TCAL_03865,Dhrs1 Dehydrogenase/reductase SDR family member 1 (Mus musculus),not-interacting,no-int
TCAL_05292,"DHTKD1 Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial (Pongo abelii)",not-interacting,no-int
TCAL_00990,DHX57 Putative ATP-dependent RNA helicase DHX57 (Homo sapiens),not-interacting,no-int
TCAL_00437,"Diablo Diablo homolog, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_11246,"dib Cytochrome P450 302a1, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_07947,dj-1beta Protein dj-1beta (Drosophila melanogaster),not-interacting,no-int
TCAL_04913,"dlat-1 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (Caenorhabditis elegans)",not-interacting,no-int
TCAL_10499,"DLD Dihydrolipoyl dehydrogenase, mitochondrial (Canis familiaris)",not-interacting,no-int
TCAL_00774,"DLST Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_03022,DNA-ligI DNA ligase 1 (Drosophila melanogaster),not-interacting,no-int
TCAL_10648,Dnlz DNL-type zinc finger protein (Mus musculus),not-interacting,no-int
TCAL_02077,DTYMK Thymidylate kinase (Homo sapiens),not-interacting,no-int
TCAL_05935,"Echdc3 Enoyl-CoA hydratase domain-containing protein 3, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_07114,"Echs1 Enoyl-CoA hydratase, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_11566,"Eci1 Enoyl-CoA delta isomerase 1, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_04563,"Eci2 Enoyl-CoA delta isomerase 2, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_02758,"ECSIT Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_02766,ENOSF1 Mitochondrial enolase superfamily member 1 (Homo sapiens),not-interacting,no-int
TCAL_09816,"eral1 GTPase Era, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_09692,"ES1 protein homolog, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_04222,"ETFA Electron transfer flavoprotein subunit alpha, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_05381,ETFB Electron transfer flavoprotein subunit beta (Homo sapiens),not-interacting,no-int
TCAL_12805,"Etfdh Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_08804,Etfrf1 Electron transfer flavoprotein regulatory factor 1 (Mus musculus),not-interacting,no-int
TCAL_07832,"Ethe1 Persulfide dioxygenase ETHE1, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_12400,"Exog Nuclease EXOG, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_11783,"FAHD1 Acylpyruvase FAHD1, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_08200,FAM210A Protein FAM210A (Gallus gallus),not-interacting,no-int
TCAL_02882,FDPS Farnesyl pyrophosphate synthase (Homo sapiens),not-interacting,no-int
TCAL_09759,"FDX1 Adrenodoxin, mitochondrial (Sus scrofa)",not-interacting,no-int
TCAL_12694,"fdx2 Ferredoxin-2, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_13814,"fdxr NADPH:adrenodoxin oxidoreductase, mitochondrial (Salvelinus fontinalis)",not-interacting,no-int
TCAL_12886,"FeCh Ferrochelatase, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_01189,"FH Fumarate hydratase, mitochondrial (Macaca fascicularis)",not-interacting,no-int
TCAL_00500,Fis1 Mitochondrial fission 1 protein (Mus musculus),not-interacting,no-int
TCAL_11664,foxred1 FAD-dependent oxidoreductase domain-containing protein 1 (Xenopus laevis),not-interacting,no-int
TCAL_06969,"FPGS Folylpolyglutamate synthase, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_09371,"GCAT 2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_09929,"GCDH Glutaryl-CoA dehydrogenase, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_03805,"Gdh Glutamate dehydrogenase, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_12623,Gfer FAD-linked sulfhydryl oxidase ALR (Mus musculus),not-interacting,no-int
TCAL_04925,"Gfm2 Ribosome-releasing factor 2, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_00329,GK3P Putative glycerol kinase 3 (Homo sapiens),not-interacting,no-int
TCAL_00721,"GLDC Glycine dehydrogenase (decarboxylating), mitochondrial (Gallus gallus)",not-interacting,no-int
TCAL_01956,Glod4 Glyoxalase domain-containing protein 4 (Mus musculus),not-interacting,no-int
TCAL_14899,"GLRX5 Glutaredoxin-related protein 5, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_01691,"Gls Glutaminase kidney isoform, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_03613,"Gls Glutaminase kidney isoform, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_04316,"Gls Glutaminase kidney isoform, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_04376,"Gls Glutaminase kidney isoform, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_05393,"Gls Glutaminase kidney isoform, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_07223,"Gls Glutaminase kidney isoform, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_09685,glt1 Putative glutamate synthase [NADPH] (Schizosaccharomyces pombe (strain 972 / ATCC 24843)),not-interacting,no-int
TCAL_06490,"GM13534 NFU1 iron-sulfur cluster scaffold homolog, mitochondrial (Drosophila sechellia)",not-interacting,no-int
TCAL_12968,"Got2 Aspartate aminotransferase, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_02171,"GPD2 Glycerol-3-phosphate dehydrogenase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_03482,"Gsr Glutathione reductase, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_12305,Gstk1 Glutathione S-transferase kappa 1 (Mus musculus),not-interacting,no-int
TCAL_04879,"gtpbp3 tRNA modification GTPase GTPBP3, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_01055,"Hadh Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_04226,"HADHA Trifunctional enzyme subunit alpha, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_08594,"HADHB Trifunctional enzyme subunit beta, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_08378,"hagh Hydroxyacylglutathione hydrolase, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_08373,HCCS Cytochrome c-type heme lyase (Gallus gallus),not-interacting,no-int
TCAL_00409,Hdhd5 Haloacid dehalogenase-like hydrolase domain-containing 5 (Mus musculus),not-interacting,no-int
TCAL_07290,Hemk1 HemK methyltransferase family member 1 (Mus musculus),not-interacting,no-int
TCAL_04156,"HIBADH 3-hydroxyisobutyrate dehydrogenase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_12649,"HIBADH 3-hydroxyisobutyrate dehydrogenase, mitochondrial (Pongo abelii)",not-interacting,no-int
TCAL_00560,"hibch 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (Xenopus tropicalis)",not-interacting,no-int
TCAL_07332,"HMGCL Hydroxymethylglutaryl-CoA lyase, mitochondrial (Macaca fascicularis)",not-interacting,no-int
TCAL_11632,HRSP12 Ribonuclease UK114 (Homo sapiens),not-interacting,no-int
#N/A,HSD17B10 3-hydroxyacyl-CoA dehydrogenase type-2 (Bos taurus),not-interacting,no-int
TCAL_07644,HSD17B4 Peroxisomal multifunctional enzyme type 2 (Homo sapiens),not-interacting,no-int
TCAL_00738,HSD17B8 Estradiol 17-beta-dehydrogenase 8 (Canis familiaris),not-interacting,no-int
TCAL_02260,"Hsp60 60 kDa heat shock protein, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_02721,"HSPA9 Stress-70 protein, mitochondrial (Pongo abelii)",not-interacting,no-int
TCAL_00345,"HTD2 Hydroxyacyl-thioester dehydratase type 2, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_07571,"HtrA2 Serine protease HTRA2, mitochondrial (Drosophila pseudoobscura pseudoobscura)",not-interacting,no-int
TCAL_00240,"iba57 Putative transferase CAF17 homolog, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_02146,IDE Insulin-degrading enzyme (Bos taurus),not-interacting,no-int
TCAL_10943,"IDH2 Isocitrate dehydrogenase [NADP], mitochondrial (Fragment) (Sus scrofa)",not-interacting,no-int
TCAL_07824,"IDH3B Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_11409,"IDH3B Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_00781,"IDH3G Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial (Fragment) (Macaca fascicularis)",not-interacting,no-int
TCAL_09908,Immp1l Mitochondrial inner membrane protease subunit 1 (Mus musculus),not-interacting,no-int
TCAL_03633,immp2l Mitochondrial inner membrane protease subunit 2 (Xenopus laevis),not-interacting,no-int
TCAL_01595,"isca1 Iron-sulfur cluster assembly 1 homolog, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_00485,"ISCA2 Iron-sulfur cluster assembly 2 homolog, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_03512,"Iscu Iron-sulfur cluster assembly enzyme ISCU, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_03214,"ISOC2 Isochorismatase domain-containing protein 2, mitochondrial (Macaca fascicularis)",not-interacting,no-int
TCAL_00897,"isoc2 Isochorismatase domain-containing protein 2, mitochondrial (Xenopus laevis)",not-interacting,no-int
TCAL_08257,"Ivd Isovaleryl-CoA dehydrogenase, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_00784,"JhI-1 Ribonuclease Z, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_12138,Kole_1935 Probable transcriptional regulatory protein Kole_1935 (Kosmotoga olearia (strain TBF 19.5.1)),not-interacting,no-int
TCAL_04739,"L-galactono-1,4-lactone dehydrogenase, mitochondrial (Brassica oleracea)",not-interacting,no-int
TCAL_00236,"l(1)G0156 Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_10405,l(2)37Cc Protein l(2)37Cc (Drosophila melanogaster),not-interacting,no-int
TCAL_03631,"l(2)tid Protein tumorous imaginal discs, mitochondrial (Drosophila virilis)",not-interacting,no-int
TCAL_04097,"LACTB Serine beta-lactamase-like protein LACTB, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_02076,"LDHD Probable D-lactate dehydrogenase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_12572,LETM1 Mitochondrial proton/calcium exchanger protein (Gallus gallus),not-interacting,no-int
TCAL_08451,"Lipt1 Lipoyltransferase 1, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_05595,"lipt2 Putative lipoyltransferase 2, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_08724,"Lonp1 Lon protease homolog, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_02200,"lrpprc Leucine-rich PPR motif-containing protein, mitochondrial (Xenopus tropicalis)",not-interacting,no-int
TCAL_05579,"lrpprc Leucine-rich PPR motif-containing protein, mitochondrial (Xenopus tropicalis)",not-interacting,no-int
TCAL_06576,"LTA3 Dihydrolipoyllysine-residue acetyltransferase component 1 of pyruvate dehydrogenase complex, mitochondrial (Arabidopsis thaliana)",not-interacting,no-int
TCAL_03350,lyrm7 Complex III assembly factor LYRM7 (Xenopus tropicalis),not-interacting,no-int
TCAL_08654,MARC1 Mitochondrial amidoxime-reducing component 1 (Homo sapiens),not-interacting,no-int
TCAL_08131,MARC2 Mitochondrial amidoxime reducing component 2 (Bos taurus),not-interacting,no-int
TCAL_11322,"Mccc1 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_12773,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_01397,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (Rattus norvegicus)",not-interacting,no-int
